"","Zip","clim_div"
"1",28619,"NC SOUTHERN MOUNTAINS"
"2",27559,"NC SOUTHERN COASTAL PLAIN"
"3",27881,"NC NORTHERN COASTAL PLAIN"
"4",27843,"NC NORTHERN COASTAL PLAIN"
"5",27244,"NC NORTHERN PIEDMONT"
"6",27203,"NC CENTRAL PIEDMONT"
"7",27298,"NC CENTRAL PIEDMONT"
"8",27235,"NC NORTHERN PIEDMONT"
"9",28054,"NC SOUTHERN PIEDMONT"
"10",28611,"NC SOUTHERN MOUNTAINS"
"11",27208,"NC SOUTHERN PIEDMONT"
"12",28098,"NC SOUTHERN PIEDMONT"
"13",27249,"NC NORTHERN PIEDMONT"
"14",27609,"NC CENTRAL PIEDMONT"
"15",28135,"NC SOUTHERN PIEDMONT"
"16",28447,"NC SOUTHERN COASTAL PLAIN"
"17",27820,"NC NORTHERN COASTAL PLAIN"
"18",28771,"NC SOUTHERN MOUNTAINS"
"19",27939,"NC NORTHERN COASTAL PLAIN"
"20",28349,"NC SOUTHERN COASTAL PLAIN"
"21",28453,"NC SOUTHERN COASTAL PLAIN"
"22",27885,"NC CENTRAL COASTAL PLAIN"
"23",28745,"NC SOUTHERN MOUNTAINS"
"24",27860,"NC CENTRAL COASTAL PLAIN"
"25",27919,"NC NORTHERN COASTAL PLAIN"
"26",27946,"NC NORTHERN COASTAL PLAIN"
"27",27853,"VA TIDEWATER"
"28",27956,"NC NORTHERN COASTAL PLAIN"
"29",28742,"NC SOUTHERN MOUNTAINS"
"30",27870,"NC NORTHERN COASTAL PLAIN"
"31",27024,"VA SOUTHWESTERN MOUNTAIN"
"32",28758,"NC SOUTHERN MOUNTAINS"
"33",28129,"NC SOUTHERN PIEDMONT"
"34",27522,"NC CENTRAL PIEDMONT"
"35",27017,"NC NORTHERN MOUNTAINS"
"36",28128,"NC SOUTHERN PIEDMONT"
"37",28726,"NC SOUTHERN MOUNTAINS"
"38",28719,"NC SOUTHERN MOUNTAINS"
"39",28789,"NC SOUTHERN MOUNTAINS"
"40",28455,"NC SOUTHERN COASTAL PLAIN"
"41",28683,"NC NORTHERN MOUNTAINS"
"42",27970,"NC NORTHERN COASTAL PLAIN"
"43",27025,"NC NORTHERN PIEDMONT"
"44",27042,"NC NORTHERN PIEDMONT"
"45",27014,"NC CENTRAL PIEDMONT"
"46",28325,"NC SOUTHERN COASTAL PLAIN"
"47",28323,"NC SOUTHERN COASTAL PLAIN"
"48",27357,"NC NORTHERN PIEDMONT"
"49",28033,"NC SOUTHERN PIEDMONT"
"50",28637,"NC SOUTHERN MOUNTAINS"
"51",28667,"NC SOUTHERN MOUNTAINS"
"52",27562,"NC SOUTHERN COASTAL PLAIN"
"53",27502,"NC CENTRAL PIEDMONT"
"54",28436,"NC SOUTHERN COASTAL PLAIN"
"55",27310,"NC NORTHERN PIEDMONT"
"56",27409,"NC NORTHERN PIEDMONT"
"57",27233,"NC CENTRAL PIEDMONT"
"58",27263,"NC CENTRAL PIEDMONT"
"59",28012,"NC SOUTHERN PIEDMONT"
"60",28606,"NC NORTHERN MOUNTAINS"
"61",28052,"NC SOUTHERN PIEDMONT"
"62",27605,"NC CENTRAL PIEDMONT"
